ONSConstID,A1,A2,A3,Err1
E14000530,0.550561798,0.582306762,0.09406093,0.320388108
E14000531,0.654082267,0.680228227,0.073258503,0.299317406
E14000532,0.510191324,0.384687096,0.064374528,0.339943414
E14000533,0.565475541,0.653392145,0.077478011,0.277247614
E14000534,0.62355616,0.506853836,0.057347302,0.358353394
E14000535,0.416938371,0.7057585,0.082098632,0.253818684
E14000536,0.589822809,0.596788819,0.078156543,0.309063504
E14000537,0.319563523,0.635452015,0.089374917,0.187268804
E14000538,0.549699743,0.521016134,0.075610727,0.332891832
E14000539,0.542347552,0.505358953,0.076063361,0.324744898
E14000540,0.224648168,0.603300234,0.096310286,0.128221022
E14000541,0.241410188,0.683781588,0.08608862,0.224736606
E14000542,0.269692957,0.707779414,0.083453126,0.235812559
E14000543,0.470329901,0.567874112,0.077758764,0.210954811
E14000544,0.609577452,0.669165671,0.077904267,0.26098813
E14000545,0.527340958,0.53641913,0.080456684,0.312416077
E14000546,0.432822967,0.683248597,0.077980502,0.274696057
E14000547,0.357824254,0.316927941,0.186756547,0.203527851
E14000548,0.388304202,0.603524543,0.08697949,0.246241766
E14000549,0.415489121,0.230375568,0.090226691,0.080759304
E14000550,0.652513029,0.492974233,0.064233753,0.375173508
E14000551,0.59329847,0.474880875,0.070611762,0.260945375
E14000552,0.452207096,0.536787168,0.100666891,0.224646858
E14000553,0.129543241,0.270040119,0.148211378,0.043155545
E14000554,0.524613854,0.555517331,0.068028738,0.274130007
E14000555,0.126636022,0.309319051,0.168462956,0.038011937
E14000556,0.584115173,0.587896089,0.068312147,0.302568162
E14000557,0.619686575,0.576764398,0.060222185,0.28955572
E14000558,0.55573259,0.650495758,0.086581368,0.237102242
E14000559,0.18422921,0.518346334,0.091006328,0.165604936
E14000560,0.394547372,0.431658412,0.151281998,0.193306303
E14000561,0.38385684,0.575227697,0.097281597,0.149556184
E14000562,0.150966673,0.432665879,0.104664205,0.185455101
E14000563,0.141828685,0.575881462,0.10416016,0.141351974
E14000564,0.131987314,0.410829065,0.188076689,0.075793751
E14000565,0.426828718,0.575496397,0.090759401,0.191982781
E14000566,0.265312125,0.541858041,0.113988234,0.182744601
E14000567,0.319056854,0.436370308,0.185457446,0.195306991
E14000568,0.198283223,0.61292229,0.093621765,0.177962217
E14000569,0.469166609,0.606224144,0.081337572,0.239259563
E14000570,0.268967694,0.564311221,0.094166682,0.181370109
E14000571,0.215815322,0.513329092,0.103770518,0.101776811
E14000572,0.493940059,0.668536538,0.074960128,0.190812628
E14000573,0.430807084,0.678039136,0.089225506,0.159817102
E14000574,0.280800266,0.563187563,0.073413305,0.230396203
E14000575,0.373146623,0.598803579,0.081266581,0.239756997
E14000576,0.589577816,0.642237761,0.081039895,0.25103553
E14000577,0.405533223,0.702722126,0.078826755,0.264383829
E14000578,0.422127791,0.577672352,0.093464025,0.217128427
E14000579,0.296529074,0.634216819,0.097280509,0.187246377
E14000580,0.479080973,0.555387153,0.077769432,0.291227983
E14000581,0.120486001,0.54876439,0.096161464,0.148429061
E14000582,0.635998974,0.749607781,0.077858857,0.239115048
E14000583,0.567298106,0.607973039,0.070979427,0.331406279
E14000584,0.518758485,0.535071303,0.098226173,0.233931648
E14000585,0.535016964,0.578992607,0.152705925,0.228379705
E14000586,0.588313175,0.53251042,0.07897071,0.359454126
E14000587,0.203651747,0.5785857,0.098154982,0.167672103
E14000588,0.381592731,0.626779974,0.088542026,0.19804988
E14000589,0.165656299,0.49395092,0.132327184,0.16400184
E14000590,0.62823453,0.614274471,0.075357727,0.33435454
E14000591,0.195253939,0.429245549,0.102722682,0.10237587
E14000592,0.326606902,0.430923583,0.104728993,0.201384303
E14000593,0.376154083,0.395085327,0.090186378,0.160131551
E14000594,0.657928558,0.608936703,0.0701292,0.320415243
E14000595,0.551100966,0.621904646,0.07749178,0.286348115
E14000596,0.604101471,0.662050789,0.07283233,0.297283375
E14000597,0.382770744,0.434299378,0.137866262,0.174391946
E14000598,0.192105674,0.256776314,0.184558802,0.150339801
E14000599,0.343569755,0.488165782,0.100159383,0.228859354
E14000600,0.418496747,0.407192903,0.106667063,0.253397148
E14000601,0.306700747,0.497144226,0.094621152,0.197534329
E14000602,0.137931516,0.204051993,0.221489751,0.163120699
E14000603,0.5789784,0.540607715,0.063390343,0.350558521
E14000604,0.539518238,0.491202346,0.072614038,0.229643233
E14000605,0.619781643,0.553651279,0.071350001,0.370044398
E14000606,0.621564705,0.658179306,0.08283227,0.302030138
E14000607,0.468094689,0.524148449,0.084710069,0.275650993
E14000608,0.758119934,0.486547127,0.064064043,0.406075428
E14000609,0.309729461,0.66612799,0.089628872,0.197949401
E14000610,0.579751958,0.646241364,0.08559247,0.266677598
E14000611,0.444815565,0.536593443,0.080786076,0.27562135
E14000612,0.415767798,0.545260288,0.081141023,0.251803961
E14000613,0.591924067,0.537385161,0.078317704,0.31636485
E14000614,0.46146691,0.517435139,0.071677626,0.272701482
E14000615,0.128004598,0.301969148,0.105904525,0.055842197
E14000616,0.474678058,0.579105962,0.087082729,0.283501312
E14000617,0.163281725,0.264754566,0.203425135,0.156641257
E14000618,0.549757687,0.688603531,0.084812542,0.298076923
E14000619,0.446919014,0.453403973,0.193109444,0.247480845
E14000620,0.498699368,0.604879993,0.093743821,0.210719323
E14000621,0.383228578,0.563024245,0.081429261,0.233837582
E14000622,0.672690673,0.726993924,0.077115361,0.304034029
E14000623,0.54073024,0.511788721,0.061376875,0.335609396
E14000624,0.601372868,0.544885551,0.065265073,0.345581738
E14000625,0.6038495,0.582944905,0.07445012,0.34057377
E14000626,0.569993317,0.64748516,0.092834161,0.287399163
E14000627,0.445851352,0.419059151,0.067839996,0.355570345
E14000628,0.536844882,0.505457255,0.084857338,0.284453297
E14000629,0.526466958,0.292140209,0.096814479,0.09408992
E14000630,0.466831544,0.427824177,0.111836898,0.250948263
E14000631,0.606566278,0.44984984,0.058768284,0.385048449
E14000632,0.347632858,0.593187532,0.079444063,0.232735118
E14000633,0.601355185,0.506428814,0.082041505,0.302725248
E14000634,0.49138647,0.492096412,0.085877321,0.229748051
E14000635,0.54719986,0.523260983,0.070721226,0.321321619
E14000636,0.463327499,0.409297293,0.077241835,0.240172212
E14000637,0.417604343,0.565742818,0.077803059,0.320908217
E14000638,0.695777541,0.598748444,0.059488492,0.298568127
E14000639,0.465799141,0.286318407,0.119354545,0.056429983
E14000640,0.404937878,0.427130406,0.113823324,0.258468893
E14000641,0.298154126,0.44350085,0.174474172,0.241929139
E14000642,0.612323026,0.710765738,0.069248703,0.205300201
E14000643,0.571043391,0.684105982,0.077324159,0.265244877
E14000644,0.458772995,0.5106418,0.119022189,0.232144035
E14000645,0.461817279,0.498245959,0.075869269,0.270751201
E14000646,0.566057868,0.526540939,0.065713354,0.354337255
E14000647,0.490646912,0.598460481,0.074285149,0.263750393
E14000648,0.492257946,0.60114346,0.07782087,0.292951933
E14000649,0.299281844,0.59225867,0.103953453,0.177231243
E14000650,0.367389516,0.586734704,0.111309382,0.223051022
E14000651,0.381352507,0.48901178,0.193413338,0.212460102
E14000652,0.505758558,0.584136714,0.085705977,0.255037798
E14000653,0.470314573,0.5900216,0.094657456,0.271460079
E14000654,0.424252509,0.48968303,0.09187045,0.160819025
E14000655,0.198715261,0.426225132,0.09477816,0.122326679
E14000656,0.544166381,0.458691163,0.078834048,0.263017864
E14000657,0.399319416,0.699260159,0.094044471,0.183832888
E14000658,0.432893768,0.580684674,0.082774539,0.199140893
E14000659,0.575575391,0.640358001,0.084786822,0.275996799
E14000660,0.63711981,0.587585411,0.06954715,0.368157256
E14000661,0.279906058,0.619180048,0.087088731,0.214966811
E14000662,0.443930802,0.537381664,0.134166642,0.229048278
E14000663,0.335099104,0.616110001,0.10214251,0.185175827
E14000664,0.600028242,0.512857412,0.061215411,0.338205452
E14000665,0.627438578,0.514643908,0.093375108,0.337481176
E14000666,0.45084446,0.572684472,0.093937962,0.270187995
E14000667,0.417108811,0.685595984,0.08527116,0.259012115
E14000668,0.343622164,0.663199758,0.09077656,0.207721869
