ONSConstID,leavehanretty,Turnout17,Con17,Lab17,ld17,snp17,PC17,UKIP17,Green17,Turnout15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Turnout19,con19,lab19,ld19,brexit19,green19,snp19,pc19,Long_term_unemployed,Population_density,Industry_manufacturing,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Turn10,Region
E14000530,0.582306762,0.642346303,0.550561798,0.316179775,0.074300306,0,0,0.036690501,0.02226762,0.638,0.506,0.183,0.088,0,0,0.179,0.044,0.660065825,0.583743637,0.235375115,0.144371193,0,0.036510056,0,0,0.0137,19.61,0.0706,0.4672,0.1209,0.3441,0,0,0.045,0,0,0.635,E12000008
E14000531,0.680228227,0.666550702,0.654082267,0.298496334,0.033378899,0,0,0,0,0.656,0.52,0.224,0.034,0,0,0.196,0.021,0.654195351,0.707894871,0.203700879,0.060266382,0,0.019597377,0,0,0.02,17.48,0.139,0.5931,0.1979,0.1769,0,0,0,0.0219,0,0.651,E12000005
E14000532,0.384687096,0.720918799,0.510191324,0.388463724,0.076738019,0,0,0,0.018942982,0.702,0.53,0.267,0.084,0,0,0.08,0.039,0.749080115,0.48045213,0.368350894,0.110220404,0,0.02859595,0,0,0.0118,18.71,0.0714,0.4895,0.2242,0.2547,0,0,0.0316,0,0,0.693,E12000002
E14000533,0.653392145,0.673047822,0.565475541,0.384296348,0.0240117,0,0,0,0.014188732,0.651,0.44,0.348,0.03,0,0,0.159,0.024,0.651180405,0.638532271,0.267957074,0.063050014,0,0.03046064,0,0,0.0176,7.05,0.2005,0.3861,0.3745,0.1444,0,0,0.0197,0,0.0695,0.655,E12000004
E14000534,0.506853836,0.758146909,0.62355616,0.227197292,0.079377987,0,0,0.027681891,0.04218667,0.731,0.608,0.112,0.072,0,0,0.144,0.064,0.751388787,0.579175352,0.158318134,0.212431605,0,0.041020714,0,0,0.0085,1.51,0.0721,0.5776,0.0864,0.2794,0,0,0.0567,0,0,0.722,E12000008
E14000535,0.7057585,0.640312004,0.416938371,0.425759606,0.019382714,0,0,0.037705279,0.007961115,0.615,0.224,0.41,0.148,0,0,0.214,0,0.626310675,0.392629645,0.24440588,0.022560229,0.051061658,0.013760719,0,0,0.0188,9.46,0.1756,0.222,0.3369,0.333,0,0,0.0194,0,0.0577,0.623,E12000004
E14000536,0.596788819,0.685216337,0.589822809,0.297934167,0.051787772,0,0,0.037041367,0.023413885,0.673,0.525,0.184,0.06,0,0,0.188,0.043,0.670653133,0.620556453,0.220466541,0.100700977,0,0.043923475,0,0,0.0134,2.24,0.0873,0.5414,0.1668,0.228,0,0,0.0454,0.0184,0,0.679,E12000008
E14000537,0.635452015,0.604903347,0.319563523,0.603550147,0.016242174,0,0,0.047217962,0.013426194,0.575,0.221,0.498,0.024,0,0,0.218,0.039,0.567521845,0.370175484,0.480676015,0.036159569,0.08167656,0.031312372,0,0,0.0208,31.43,0.1248,0.2475,0.4841,0.1484,0,0,0.0439,0,0.0762,0.569,E12000002
E14000538,0.521016134,0.712124149,0.549699743,0.300375959,0.096286341,0,0,0.022047191,0.021043499,0.687,0.507,0.151,0.106,0,0,0.197,0.039,0.698967288,0.540428553,0.253631801,0.166419044,0,0.039520602,0,0,0.0121,5.82,0.0793,0.5217,0.1259,0.2844,0,0,0.068,0,0,0.682,E12000008
E14000539,0.505358953,0.734419737,0.542347552,0.34094084,0.056073552,0,0,0.025681427,0.019898639,0.671,0.53,0.213,0.059,0,0,0.139,0.046,0.698222291,0.54271229,0.275504204,0.140350598,0,0.041432908,0,0,0.0101,2.54,0.1241,0.5281,0.1916,0.2041,0,0,0.0499,0.0171,0,0.647,E12000008
E14000540,0.603300234,0.619030926,0.224648168,0.677845592,0.012563183,0,0,0.063570964,0.015184882,0.581,0.163,0.577,0.013,0,0,0.222,0.02,0.57084397,0.264994719,0.611676667,0.033304119,0.071597115,0.01842738,0,0,0.0312,59.89,0.043,0.178,0.5431,0.082,0,0,0.0287,0.007,0.146,0.614,E12000007
